id_indiv,id_territoire,id_legis,id_mandat,id_inves,id_motif_deb,id_motif_fin,remporte,id_suppleant,date_deb,date_fin
PA795950,PO792318,16,1,,1,0,True,PA795954,2022-06-19,
PA719942,PO717850,15,1,,4,17,True,,2017-06-18,2021-07-27
PA2667,PO644440,14,1,,1,3,True,PA642635,2012-06-20,2017-06-20
PA2667,PO384286,13,1,,1,3,True,PA340265,2007-06-20,2012-06-19
PA2667,PO230454,12,1,,1,3,True,PA579,2002-06-19,2007-06-19
PA336015,PO384719,13,1,,1,3,True,PA346010,2007-06-20,2012-06-19
PA336015,PO644872,14,1,,1,3,True,PA643147,2012-06-20,2017-06-20
PA721946,PO718442,15,1,,1,3,True,PA721950,2017-06-18,2022-06-21
PA720480,PO717988,15,1,,1,3,True,PA720484,2017-06-18,2022-06-21
PA720480,PO792108,16,1,,1,0,True,PA794466,2022-06-19,
PA793892,PO793052,16,1,,1,0,True,PA793896,2022-06-19,
PA1193,PO644553,14,1,,1,3,True,PA642717,2012-06-20,2017-06-20
PA1193,PO230567,12,1,,20,3,True,,2004-06-20,2007-06-19
PA1193,PO384399,13,1,,1,3,True,PA341736,2007-06-20,2012-06-19
PA793110,PO792656,16,1,,1,0,True,PA793114,2022-06-19,
PA643127,PO717696,15,1,,1,3,True,PA719360,2017-06-18,2022-06-21
PA267266,PO644461,14,1,,1,3,True,PA267267,2012-06-20,2017-06-20
PA267266,PO230475,12,1,,1,3,True,PA267267,2002-06-19,2007-06-19
PA267266,PO384307,13,1,,1,3,True,PA267267,2007-06-20,2012-06-19
PA610594,PO645014,14,1,,1,3,True,PA643133,2012-06-20,2017-06-20
PA718876,PO717542,15,1,,1,3,True,PA718880,2017-06-18,2022-06-21
PA722240,PO718356,15,1,,4,6,True,,2017-06-18,2022-06-20
PA1178,PO230586,12,1,,1,3,True,PA267422,2002-06-19,2007-06-19
PA722268,PO718100,15,1,,1,3,True,PA722272,2017-06-18,2022-06-21
PA2317,PO230968,12,1,,1,3,True,PA2029,2002-06-19,2007-06-19
PA2317,PO644944,14,1,,1,3,True,PA643054,2012-06-20,2017-06-20
PA2317,PO384800,13,1,,1,3,True,PA2029,2007-06-20,2012-06-19
PA794870,PO792232,16,1,,1,0,True,PA794874,2022-06-19,
PA608495,PO644780,14,1,,1,7,True,PA642910,2012-06-20,2014-05-09
PA722244,PO718360,15,1,,1,3,True,PA722248,2017-06-18,2022-06-21
PA1154,PO230690,12,1,,1,3,True,PA2020,2002-06-19,2007-06-19
PA2449,PO718044,15,1,,1,3,True,PA720676,2017-06-18,2022-06-21
PA2449,PO792148,16,1,,1,0,True,PA794666,2022-06-19,
PA267289,PO230651,12,1,,1,3,True,PA267290,2002-06-19,2007-06-19
PA267289,PO644637,14,1,,1,3,True,PA642799,2012-06-20,2017-06-20
PA267289,PO384483,13,1,,1,3,True,PA267290,2007-06-20,2012-06-19
PA267289,PO717864,15,1,,1,12,True,PA720084,2017-06-18,2017-12-18
PA267289,PO717864,15,1,,15,3,True,PA642799,2018-03-25,2022-06-21
PA266815,PO384391,13,1,,1,3,True,PA341636,2007-06-20,2012-06-19
PA266815,PO230559,12,1,,1,3,True,PA266816,2002-06-19,2007-06-19
PA718682,PO717464,15,1,,1,3,True,PA718686,2017-06-18,2022-06-21
PA721956,PO718220,15,1,,4,6,True,,2017-06-18,2019-04-27
PA609016,PO644825,14,1,,1,3,True,PA642936,2012-06-20,2017-06-20
PA712422,PO644626,14,1,,19,3,True,PA712423,2016-04-24,2017-06-20
PA334160,PO644735,14,1,,10,3,True,PA267918,2012-06-20,2017-06-20
PA334160,PO644735,14,1,,1,7,True,PA267918,2012-06-20,2012-07-21
PA334160,PO384581,13,1,,1,7,True,PA267918,2007-06-20,2012-06-16
PA263,PO230880,12,1,,4,3,True,,2002-06-19,2007-06-19
PA796050,PO792838,16,1,,1,0,True,PA796054,2022-06-19,
PA609764,PO644899,14,1,,1,3,True,PA642992,2012-06-20,2017-06-20
PA607761,PO644698,14,1,,1,3,True,PA642880,2012-06-20,2017-06-20
PA796078,PO792726,16,1,,1,0,True,PA796082,2022-06-19,
PA1815,PO230801,12,1,,1,3,True,PA266806,2002-06-19,2007-06-19
PA793672,PO792948,16,1,,1,0,True,PA793676,2022-06-19,
PA722046,PO718310,15,1,,1,3,True,PA722050,2017-06-18,2022-06-21
PA722046,PO792426,16,1,,1,0,True,PA795688,2022-06-19,
PA794486,PO792136,16,1,,1,0,True,PA794490,2022-06-19,
PA719952,PO717828,15,1,,1,3,True,PA719956,2017-06-18,2022-06-21
PA934,PO230602,12,1,,1,3,True,PA266770,2002-06-19,2007-06-19
PA934,PO384434,13,1,,1,3,True,PA342240,2007-06-20,2012-06-19
PA719946,PO717848,15,1,,1,3,True,PA2099,2017-06-18,2022-06-21
PA1418,PO230534,12,1,,1,3,True,PA267134,2002-06-19,2007-06-19
PA1418,PO384366,13,1,,1,3,True,PA341326,2007-06-20,2012-06-19
PA720692,PO718014,15,1,,1,3,True,PA551,2017-06-18,2022-06-21
PA720692,PO792114,16,1,,1,0,True,PA794550,2022-06-19,
PA606899,PO644604,14,1,,1,3,True,PA642793,2012-06-20,2017-06-20
PA2850,PO384622,13,1,,1,3,True,PA344693,2007-06-20,2012-06-19
